;samp_size;power_50;power_60;power_70;power_80;freq_power_barrel;freq_power_test1;freq_power_test2
1;50;0.603;0.484;0.373;0.24;0.214;0.215;0.253
2;100;0.646;0.521;0.4;0.272;0.271;0.333;0.271
3;200;0.666;0.57;0.463;0.331;0.324;0.551;0.324
4;300;0.687;0.597;0.487;0.357;0.348;0.7;0.348
5;500;0.729;0.633;0.532;0.41;0.397;0.879;0.397
6;1000;0.781;0.692;0.607;0.484;0.478;0.988;0.478
7;2000;0.87;0.806;0.713;0.606;0.603;1;0.603
8;4000;0.939;0.904;0.85;0.76;0.756;1;0.756
9;5000;0.952;0.931;0.889;0.826;0.823;1;0.823
